first_name,last_name,schools
Clevey,Mansuer,Tianjin University of Commerce
Darcy,Ridhole,Universidad Autonoma de Chiriqui
Emmet,Bendig,Anhui University
Paco,Coppledike,Shandong University of Triaditional Chinese Medicine
Flss,Hudspith,"Concordia College, Seward"
Ryon,Siddeley,Université Badji Mokhtar
Janos,Caunt,Instituto Superior de Paços de Brandão
Tate,Biggin,San Jose Christian College
Kariotta,Revens,Universidad Bernardo O'Higgins
Dorise,Meindl,Louisiana College
Rooney,Spacey,Universidad Autonoma de Chiriqui
Alex,Edmonds,Mansfield University of Pennsylvania
Ruperto,Yearnes,Universidade Federal de Lavras
Gladi,Weatherby,Kent State University
Myrtia,Hush,University of Health Sciences
Arturo,Stoacley,Bank Street College of Education
Bess,Merrien,Rivers State University of Science and Technology
Francene,Cambell,Nigde University
Brandea,Roget,Center for Humanistic Studies
Suellen,Andriuzzi,"European Graduate School, Media & Communications"
Julius,Marle,Management and Science University
Elsbeth,Rabley,Boston College
Ursula,Baroche,Hebei Medical University
Felipe,Sholl,Yaroslavl State Theatre Institute
Ichabod,Ebbers,Kenya Medical Training College
Lotty,Mulchrone,Centro de Enseñanza Técnica Industrial
Luca,Lashmore,Universidade Estadual da Paraíba
Conan,Hogben,Kanda University of International Studies
Linnie,McTurlough,Ecole Nationale Supérieure de Physique de Grenoble
Way,Egger,Ecole Centrale d'Electronique - ECE
Rog,Saylor,Samara State Agricultural Academy
Carmita,Sillwood,Tuskegee University
Lambert,Arend,University of Ostrava
Flossi,Ewing,Stie Perbanas Surabaya
Cris,Giercke,Sichuan Agricultural University
Allister,Melladew,Hanoi Medical University
Imelda,Finlan,Universidad Empresarial
Aurie,Wallsworth,Insituto Universitario - Centro Latinoamericano de Economia Humana - IU Claeh
Aindrea,Gabbett,San Jose State University
Ernest,Cauldwell,Ashesi University
Clarissa,Filimore,University of Science and Technology of China
Amy,Dybald,University of Colorado Health Sciences Center
Catarina,Bindin,Blue Mountain College
Walden,Clubley,Daffodil International University
Daisie,Franssen,Arabian Gulf University
Reinold,Hunnybun,Norwegian School of Economics and Business Administration
Dagmar,Marple,Simpson College
Stephenie,Banghe,Universidad Maimónides
Karee,Moorey,Taylor's University College
Bendix,McNally,Instituto Politécnico do Cávado e do Ave
Ericha,Proske,London School of Jewish Studies
Aldric,Antowski,St.Kliment Ohridski University
Ody,Haithwaite,Hemchandracharay North Gujarat University
Ertha,Champniss,Imo State University
Mandi,Beall,Yantai Education Institute & Yantai Television University
Melinda,Mowsdell,Dominican College of Philosophy and Theology
Arley,Malitrott,Ateneo de Naga University
Alain,Burnes,Ecole Supérieure de Commerce de Brest
Jo ann,Cresswell,Chiba Keizai University
Philly,Quipp,California Polytechnic State University - San Luis Obispo
Kalvin,Slade,Bard College
Branden,Haldane,Slovak Medical University
Isa,Groarty,Bifrost School of Business
Kettie,Brinson,Instituto Superior de Ciênicas e Tecnologia de Moçambique
Peri,Baker,Palm Beach State College
Doloritas,Lalor,Universität Salzburg
Ansell,Gareisr,Universidad Tecnológica San Antonio de Machala
Shalne,Duquesnay,Latvian Academy of Arts
Elsa,Burrells,University of Sri Jayawardenapura
Ferdy,Pyett,Università Bocconi
Rubetta,Cruttenden,Université de Yaoundé II
Winna,Bazley,Azerbaijan International University
Markos,Cheal,NTB Interstate University of Applied Sciences of Technology
Markos,Benitez,Southwestern Baptist Theological Seminary
Bess,Sibbe,Université Mouloud Mammeri de Tizi Ouzou
Ethelyn,Pyer,Millsaps College
Kenny,Kiezler,Texas A&M University
Denise,Flynn,Kettering University (GMI)
Ree,Marrable,Benedictine College
Frieda,Sommerville,University of Malta
Debra,Hurler,China Medical College
Petronella,Boord,Institut Teknologi Bandung
Bridie,Dilloway,Saratov State University
Kristyn,Brattan,Bu Ali Sina University
Willabella,Gerardi,Grace Bible College
Pollyanna,Gavaran,The Master's College
Petunia,Scad,University of New Caledonia
Anabelle,Flageul,The Catholic University of America
Stacee,Tickner,"Concordia University, Austin"
Sherwynd,Sallier,Universidad Amazonica de Pando
Kaspar,Noyes,Mississippi State University
Lynnett,Berringer,Kaplan University
Ronalda,Rignold,Asian Institute of Technology
Codee,List,Winona State University
Grove,Owtram,Dankook University
Ryan,Cutford,Private FernFachhochschule Darmstadt
Brandon,Jacquemot,Universidad Miguel de Cervantes
Fae,Offill,City University Athens
Celestyn,Cicculini,Russian State University for the Humanities
Hobart,MacParlan,Kafr El-Sheikh University
Ariadne,Audibert,AgroParisTech
Lelah,Fernandes,Universidad Autónoma del Carmen
Lucila,Orbine,Kilimanjaro Christian Medical College
Coral,Izakson,Hannibal-Lagrange College
Isabelle,Morling,Technological Education Institute of Patras
Faythe,Eller,Benedict College
Jacquenette,Standrin,University of Technology - Iraq
Michel,McGloughlin,Debrecen University of Agricultural Sciences
Collette,Capps,Atlantic University
Brian,Chinery,Vinoba Bhave University
Belle,Lambrecht,Birzeit University
Rowney,Beves,Pedagogical University of Czestochowa
Debby,Stroband,Institute of Paper Science and Technology
Lon,O'Hollegan,Universitas Pembangunan Panca Budi
Carine,Crate,University of Pretoria
Leta,Lecordier,Universidad Autónoma Metropolitana - Xochimilco
Hodge,Clery,Otemae University
Boniface,Cuss,Roanoke College
Fairleigh,Rohloff,Sri Sant Gajanan Maharaj College of Engineering
Bowie,MacTeague,University of the South Pacific
Sollie,Reston,Politeknik Negeri Lhokseumawe
Hobey,Battman,Universidad de Córdoba
Seka,Goodinson,Centre National d'Etudes Agronomiques des Régions Chaudes
Benjamin,Fance,South University of Science and Technology of China 
Elisabeth,Mintram,Tama Art University
Paige,Szymanzyk,Perm State Technical University
Benny,Krinks,Mississippi State University
Brigid,Denidge,Universidade de Cruz Alta
Maggee,Highway,Universidad Autónoma del Noreste
Gavin,Leader,Simmons College
Katharina,Cromblehome,Universidad Politecnica de Nicaragua
Jennie,Thrift,Covenant University
Daffie,Vasenin,Ho Chi Minh City University of Pedagogics
Berke,Parley,Institut Supérieur d'Agriculture Lille
Bernadette,Pottberry,Georgia Southwestern University
Filippo,Lawleff,Mountain View College
Ichabod,Pougher,Kanto Gakuin University
Jarrod,Stichel,Universidad de Piura
Bartlett,Woodburne,Wells College
Tamiko,Aime,Aletheia University
Chrisy,Cammomile,Cardiff University
Skipp,Michel,University of New Haven
Melania,Ecclestone,Austin Community College
Ellerey,Durak,"Rasmussen College, Minnesota Campuses"
Adelaide,Wilfing,Universidade de Santa Cruz do Sul
Ezmeralda,Grcic,College of the Atlantic
Renaldo,Mc Carroll,University of Portland
Bryn,Cholmondeley,Universidad de Valencia
Edmon,Wiltshier,Universidad Galileo
Cecily,Viall,Odessa State Academy of Construction and Architecture
Orelee,Jiggle,Slobomir P Univerzitet
Loree,Placido,Olabisi Onabanjo University 
Donnajean,Samter,Moscow State University of Commerce
Darill,Beare,Bishkek Humanities University
Fern,Glaysher,Universidade de Taubaté
Jayne,Farebrother,Ningxia Medical College
Viole,Klas,Universidad del Sagrado Corazon
Ezra,Keijser,Korea National University of Education
Erinna,Scandrett,"Islamic Azad University, Central Tehran Branch"
Jenni,Hartigan,Capital University of Medical Sciences
Chlo,Figgins,"Islamic Azad University, Najaf Abad"
Skylar,Fussen,Alsadrain University
Creighton,Deason,Southern Nazarene University
Carmon,Lockhurst,Islamic University of Technology
Shawnee,Phelan,Dicle (Tirgris) University
Gillian,Flemming,Université des Sciences et de la Technologie Houari Boumediène
Rozele,Matz,Laurentian University of Sudbury
Lucine,Korba,Wuhan Transportation University
Willard,Toffanini,Universidad Católica de Córdoba
Morie,Burkert,William Gilbert College
Jesselyn,Gryglewski,Global University
Abran,Tansly,Chinese University of Hong Kong
Cecelia,Jost,Cumhuriyet (Republik) University
Lyn,MacRedmond,Harding University Graduate School of Religion
Lynea,Kirley,Madison University (Distance Education)
Berthe,Harrowsmith,Fudan University
Alaster,Asel,Université du Québec à Montréal
Barrett,Tildesley,Al-Zaytoonah University
Arlen,Tabert,Universidade do Sul de Santa Catarina
Lefty,Harrold,Southern Methodist University
Margeaux,Clingoe,Judson College Elgin
Constancia,Casserly,Institute of Clinical Social Work
Brucie,Heelis,Nanjing Agricultural University
Hartwell,Borrett,University of Wisconsin - Eau Claire
Florri,McCarney,Punjab Engineering College Deemed University
Garreth,Ginity,The Scripps Research Institute
Kiley,Corten,Shanghai Dainji University
Chancey,Skeath,Benson Idahosa University
Patty,Teasey,"Federal University of Technology, Owerri"
Zea,Nickolls,Universidad del Valle de Puebla
Murry,Height,Fu Jen Catholic University
Lorette,Harce,University of Bradford
Marthe,Larose,Saurashtra University
Cristina,Wennington,University of Kurdistan - Hawler
Abdul,Arter,Izmir Economic University
Bryce,Renhard,Uzima University College 
Verena,Rodder,National Taiwan Ocean University
Abran,Higgoe,Institut Sains & Teknologi Akprind
Murielle,Sambidge,The Bahá'í Institute For Higher Education (BIHE)
Whitney,Charkham,Russian State University for the Humanities
Sim,Striker,Qom University of Technology
Keir,Swatradge,University of Malta
Hayden,Stanner,Turkish Naval Academy
Ashil,Sudy,Universitas Bung Hatta
Kennie,Iamittii,Eastern Illinois University
Killy,Coots,"International Banking Institute, St. Petersburg"
Lindon,Killik,European University
Gretel,Greveson,Notre Dame College of Ohio
Winifred,Sewell,Katholische Fachhochschule Mainz
Lise,Skarin,Kitakyushu University
Pail,Dogerty,University of the Sacred Heart Tokyo
Graehme,Ballston,Royal Veterinary and Agricultural University
Willyt,Crippes,Tomsk Polytechnic University
Darryl,Mitroshinov,University of Northern Virginia
Tod,McLeod,Ecole Nationale Vétérinaire de Nantes
Patricio,Pendre,University of Texas at San Antonio
Colette,Gergler,Netaji Subhas Inst of Technology
Colman,Miranda,Universidad del Azuay
Joby,Stefi,Vaasa University of Applied Sciences
Annabell,Hammond,Hanoi University of Science & Technology
Natasha,Everington,North-West State Technical University
Delcina,Scotchford,Monmouth University
Cos,Snazle,Umm Al-Qura University
Lisabeth,Seville,Universiti Tun Hussein Onn Malaysia
Bill,Poltone,"Mahatma Gandhi University, Kerala"
Cecily,Stockey,Hanoi University of Science
Maxim,Roman,Dr. Babasaheb Ambedkar Technological University
Bobbie,Valance,"Florida Metropolitan University, Tampa College Brandon"
Seymour,Inder,Kokugakuin University
Melanie,Widocks,Osaka University of Commerce
Vladimir,Gillis,Sweet Briar College
Keith,Raunds,Ural State Academy of Law
Dianne,Rea,Universidad Autónoma de San Luis Potosí
Marylynne,Robertshaw,Buena Vista University
Hyacintha,Pinnigar,Papua New Guinea University of Technology
Chrystal,Baldini,Universidad de Chiclayo
Humfrid,Gonnin,Judson College Elgin
Madonna,Haggett,Zimbabwe Open University
Stafford,Brokenshire,Universidade de Vila Velha
Mischa,Bristo,Campbell University
Michaelina,Kristof,Sunmoon University
Hyacinthe,Himsworth,"Johns Hopkins University, SAIS Bologna Center"
Gualterio,Perez,Kaohsuing Open University
Yorker,Vevers,Academy of Economics in Poznan
Forster,Bishopp,Allama Iqbal Open University
Danila,Hurich,Zabol University
Jereme,Greenstead,Illinois College
Dolorita,Lorden,Universidad Gran Mariscal de Ayacucho
Karlis,Moodie,Armed Forces Academy of General Milan Rastislav Štefánik
Lotty,Fetherby,International Medical & Technological University
Silvio,Gaynes,Technological University (Monywa)
Fanchon,Gelderd,Dilla University
Helge,Beddard,Mongolian State University of Agriculture
Bernard,Burchard,Technological University (Pathein)
Veronika,Westfalen,Mills College
Francesco,Friday,Institut Teknologi Bandung
Marlo,Dyte,Hochschule Bremerhaven
Lurline,Godspede,Petrozavodsk State University
Phillie,Loughney,Governors State University
Beverie,Cleminson,Universidad Estatal a Distancia
Lee,Kassidy,University of New Orleans
Orazio,MacNab,Virgen Milagrosa University Foundation
Orsola,Brahmer,International Institute for Geo - Information Science and Earth Observation
Paddy,Downey,University of British Columbia
Filide,Trundle,Kazan State Academy of Architecture and Civil Engineering
Franny,Ginnety,Eurasian Institute of market
Lonee,Craythorn,Mercyhurst College
Dame,Pitman,Shanghai University of Traditional Chinese Medicine and Pharmacology
Bibbie,Scullard,University of Missouri - Saint Louis
Werner,Oldcroft,Emeq Yizrael College
Kenton,Becke,Universitas Sultan Ageng Tirtayasa
Amalea,Issacoff,Coe College
Clevie,Gofton,Pannnasatra University of Cambodia
Wilfrid,Menicomb,Fachhochschule Koblenz
Lexi,Valentinetti,University of Saskatchewan
Ruthanne,Yacobsohn,Herat University
Mariejeanne,Colnet,University of Hawaii - Hilo
Jarred,Olenikov,Islamic College for Sciences and Technologies
Randi,Middlebrook,Tatung Institute of Technology
Maire,Thunnercliffe,Villa Julie College
Margret,Conaghy,Jaypee Institute of Information Technology
Vanya,Bailes,University of South Carolina - Sumter
Bernelle,Leman,Volgograd State University of Architecture and Civil Engineering (VolgGASU)
Louise,Doorly,Portland State University
Lazar,Firbank,University of Gdansk
Diahann,Richardeau,University of Ostrava
Esmeralda,Demeter,Institute for the Economy in Transition
Esmaria,Dillestone,Inner Mongolia Polytechnic University
Joeann,Ferenczi,Universitas Negeri Gorontalo
Lucas,Compson,Japanese Red Cross College of Nursing
Brenna,Scirman,Wuhan University of Hydraulic and Electric Engineering
Alford,O'Siaghail,Fine Arts Academy in Poznan
Cookie,Lydall,St. Clair College
Maxine,Andrzejowski,Lycoming College
Wynne,Itscowics,Mongolian National University
Ebenezer,Crumpe,"University of Medicine 1, Yangon"
Aida,Kollas,Universidad del Centro de México
Ozzy,Papps,Indiana University-Purdue University at Fort Wayne
Gib,Waight,Sichuan International Studies University
Staffard,Tebbutt,Universidad Americana
Garrick,Midford,Baghdad College of Pharmacy
Merrili,Ebenezer,Wilmington College
Lek,Davinet,"Katholieke Universiteit Leuven, Campus Kortrijk"
Drucy,Prue,University of Information Technology and Management in Rzeszow
Madelene,Itchingham,Universidad Tecnológica San Antonio de Machala
Pascale,Luthwood,Howard Payne University
Karleen,Crick,"Royal College of Music, University of London"
Jae,Joice,Arab Open University
Starla,Valek,Guangdong Peizheng College 
Gallard,Wollers,Université Cadi Ayyad
Wallace,Matashkin,Tbilisi Teaching University
Angeli,Heatlie,School of the Museum of Fine Arts
Algernon,Brassill,Universitas Bhayangkara Jakarta Raya
Saundra,Orable,Samara State Aerospace University
Eddie,Hawken,The Federal Polytechnic Offa
Vitoria,Loddy,Ecole Nationale Supérieure Agronomique de Toulouse
Fionna,Simmen,Bryn Athyn College of the New Church
Maddie,Liversage,Dongshin University
Concordia,Karolewski,Institut Supérieur Agricole de Beauvais
Judah,Castrillo,Helsinki School of Economics and Business Administration
Shanie,MacNair,University of Akureyri
Boote,Smeal,The College of Wooster
Tania,Helin,Instituto Universitario CEMA
Crosby,Barthod,Gannon University
Kathie,Stoade,Smolensk Humanitarian University
Mal,Twigley,Loras College
Roley,Bevis,Carleton University
Manon,D'Arrigo,Bastyr University
Delinda,Malshinger,University of Cambridge
Kevyn,Mitchall,Swiss German University
Shandra,Arter,Universidad de La Habana
Delphinia,Danshin,Hokkaido Tokai University
Marius,Alves,Bastyr University
Kiele,Dell'Abbate,Boston Architectural Center
Drusilla,Haugen,University of South Dakota
Johnnie,Edinburough,Thompson Rivers University
Nathanial,Shortt,Southeastern College of the Assemblies of God
Winfield,Geare,Karolinska Institute Stockholm
Mike,Higgonet,Chowan College
Towny,Bunworth,"Fachhochschule Furtwangen, Hochschule für Technik und Wirtschaft"
Jordana,Whilder,Yan'an University
Errol,Muncie,"BGC Trust University, Bangladesh"
Brooke,Dayly,Trinity University School of Medicine
Jacklyn,Roan,"London School of Economics and Political Science, University of London"
Lewes,Abell,National College of Ireland
Eleni,Foster-Smith,Zhongnan University of Technology
Christabella,Goulder,George Wythe College
Ethyl,Dowles,University of Mosul
Shawn,Montier,Isfahan University of Medical Sciences
Leonardo,MacEllen,Mount St. Mary's College California
Cory,O'Dowgaine,Technological Education Institute of Thessaloniki
Dale,Bulteel,Eastern Conservatory of Music
Tibold,Patrick,Universidade de Evora
Faina,Sperski,Polytechnic Institute of Milan
Rockwell,Petrol,St. Petersburg State University of Culture and Arts
Evie,Shakspeare,Western Baptist College
Darsey,Rishman,Chiang Mai Vocational College
Edsel,Manntschke,Kuala Terengganu City Polytechnic
Kaleb,Caslane,Belgorod State Technical University
Dari,Nono,Victoria International University
Afton,Shitliffe,St. Joseph's University
Elene,Maevela,Universidad de Los Lagos
Eryn,Janosevic,Xi'an Highway University
Kamila,Childe,"Islamic Azad University, Shabestar"
Tedd,Grain,Divine Word University
Johnathan,Wyllis,Aurora University
Olly,Kirkam,University of London
Delores,Torpie,University of Kelaniya
Barbaraanne,Elstob,"Université du Centre, Sousse"
Parke,Scholig,"Institute of Teachers Education, Islamic Education"
Humberto,Daintith,Belmont University
Ralf,MacDermott,Boston Architectural Center
Karilynn,Romei,Mount St. Mary's College Maryland
Kendell,Horsewood,Mount St. Mary's College Maryland
Sibyl,Cathcart,Universidade do Grande Rio
Chrystel,Pavlenkov,Kuching Polytechnic
Bertram,Greatbatch,Tashkent State Technical University
Dode,Assel,Universidad Austral de Chile
Mikel,Fissenden,Ivanovo State University of Chemistry and Technology
Grover,Stuckey,Universidade Federal do Paraná
Vivian,Skerrett,Aimst University
Emilee,Borham,Yashawantrao Chavan Maharashtra Open University
Martie,Marriot,Zhongnan University of Finance and Economics
Daphne,Aimson,Qinghai University
Des,Vassel,College of Idaho
Ingram,Worboys,Technical University of Denmark
Irene,Christou,Andon College - Modesto
Ilyse,Mountney,Universidade Castelo Branco
Kirsteni,Hinckesman,George Wythe College
Brianne,Gillbey,Canterbury Christ Church University
Pegeen,McElree,Institut National Polytechnique de Toulouse
Arne,Bohey,University of Louisville
Jerri,Mannock,International Hellenic University
Britteny,Bason,Université de Perpignan
Sibley,Glasner,Instituto Superior de Ciênicas e Tecnologia de Moçambique
Kizzie,McKellar,Ecole Nationale Supérieure des Mines d'Alès
Mufinella,Prevett,Islamia University of Bahawalpur
Galen,Liversley,Ecole Nationale des Travaux Publics de l'Etat
Lesley,Clemenzo,Suffolk University
Myrah,Storrar,Strayer University
Stephanus,Salliere,Ecole Centrale d'Electronique - ECE
Fern,Le Gall,Universidade Estadual da Paraíba
Frederica,Treweek,University of Canterbury
Carol-jean,Klessmann,William Gilbert College
Colan,Shafto,Zhezkazgan Baikonurov University
Dorelle,Clemintoni,"Schiller International University, American College of Switzerland"
Dewie,Iacovo,Northern Alberta Institute of Technology
Cece,Pitchford,University of Indianapolis
Tricia,Mitrovic,Shanghai Customs College
Ulrica,Brian,Kalmar University College
Kurtis,McMackin,Chang Jung University
Tiffanie,Shenfisch,Tashkent State University of Oriental Studies 
Philbert,Catford,Tokyo University of Foreign Studies
Heloise,Corkill,Southern Utah University
Jobey,Alejandre,Rybinsk State Academy of Aviational Technology
Ludovico,Hechlin,University of Rio Grande
Bellina,Vinas,Merrimack College
Juline,Gianni,Frederick University
Celene,Denyukin,University of Illinois at Chicago
Regina,Burnsides,Sabanci University
Lindy,Lintott,European Business School
Hettie,Long,Universidad del Quindío
Isaac,Leeder,Yerevan State University
Kayle,Giacobini,Southwest Missouri State University
Wildon,Greenier,Uzhgorod National University
Dana,Yeldon,"Technological Education Institute of Halkida, Euboea"
Ron,Jizhaki,Trinity Christian College
Cecilla,Keaton,Universiti Industri Selangor
Bendick,Devonside,Valahia University of Targoviste
Town,Blumsom,Precarpathian University
Fields,Idel,Bucknell University
Alfons,Eykelhof,Faculdade Integradas do Ceará
Free,Callen,National Tainan Teachers College
Sara-ann,Boult,Ulsan University
Prue,Pacheco,Beloit College
Vincenty,Balharry,Universidad Popular del Cesar
Carmine,O'Gleasane,Pontificio Ateneo Antonianum
Rosette,Lampkin,Kanto Gakuin University
Georgetta,Hanshawe,Aalborg Business College
Estella,Cluett,"University of Maine, Farmington"
Alaric,Haward,Istituto Universitario di Studi Superiori
Shannen,Trinbey,University Institute of Naval Studies
Reggy,Brakewell,Spartan University of Health Sciences
Elsey,De Brett,Metropolitan State University
Clarence,Skerrett,Universidade de Alfenas
Aube,Hawarden,National Taiwan University of Science and Technology
Demetris,Wrates,Technological Education Institute of Kozani
Nanine,Meake,DeSales University
Redford,Jakuszewski,Jilin University of Technology
Janella,Van Bruggen,Universidade de Uberaba
Gabriele,Swaby,Wimbledon School of Art
Enrico,Rowcliffe,University of Victoria
Lyell,Fozard,Universidad Tecnológica San Antonio de Machala
Orren,Pilley,American InterContinental University - London
Aguie,Leale,Orenburg State University
Hulda,Mecco,"Islamic Azad University, Khorasgan"
Marta,Covolini,University of Resita
Rivy,Boffey,Universität Passau
Michele,Cicculi,"Synergy University, Dubai Campus"
Leandra,Francois,University of Cape Coast
Genvieve,Zukierman,Middle East Technical University
Alyse,Quene,Missouri Southern State College
Clement,Pruvost,University of Constanta Medical School
Zola,Welbourn,Pennsylvania State University - Abington
Jorry,Swetland,Rensselaer Polytechnic Institute
Perrine,Yakobowitz,United Business Institute
Aryn,Leavold,Northwestern College of Chiropractic
Deina,Lynthal,Technological University (Hmawbi)
Natalie,Riddle,Ural State University of Economics
Bartolemo,Silwood,Northwest Polytechnical University Xi'an
Ardys,Russilll,Tiraspol State University
Morgen,Greenhead,Mimar Sinan University
Melisande,Loody,University of Québec
Ingunna,Matherson,Universidade Federal de São Paulo
Robbert,Dartan,"Universidad de Bogotá ""Jorge Tadeo Lozano"""
Annabelle,Marsham,Odessa National Academy of Food Technologies
Ofilia,Realph,Moscow Technical University of Informatics and Communication
Zollie,Squibe,Algonquin College
Claire,Inston,University of Debrecen 
Karil,Skarin,Ecole Supérieure de Commerce de Le Havre/Caen
Hanson,Streetfield,Assumption University
Erl,Beckham,Universidad Central del Ecuador
Harv,Mead,"Royal Academy of Music, University of London"
Mile,Rawlyns,Sikha 'O' Anushandhan University
Patricia,Bigly,Cyprus International Institute of Management (CIIM)
Genni,Folk,Rasmussen College
Timofei,Pevreal,Universidad Autónoma de Tlaxcala
Seline,Davidsen,Carl von Ossietzky Universität Oldenburg
Calhoun,Daintree,State University of New York at Oswego
Lenci,Mariel,"Sikkim Manipal University of Health, Medical and Technological Sciences"
Jess,Grevel,Université de Saida
Brietta,Baggarley,Slippery Rock University
Huntington,Bradberry,Beth-El College of Nursing and Health Sciences
Rayner,Cicero,Voronezh State University
Kay,Dran,Universidad Internacional de las Américas
Raleigh,Morsey,Rice University
Gaelan,D'Ugo,Centro Universitário Monte Serrat
Fiann,Wissbey,Park College
Ailey,Rushbrook,South Dakota School of Mines and Technology
Mayne,Simonutti,Gemological Institute of America
Timotheus,Wapol,ISFORT - Institut de Formation en Technologie Alimentaire
Kamillah,Stockow,"Jain University, Centre for Management Studies"
Niko,Meekins,Politeknik Negeri Jakarta
Sigfrid,Powis,China University of Mining Technology - Beijing
Stevie,Alkins,St. Petersburg State University of Technology and Design
Ethelda,Thurlborn,Vesalius College
Phillipp,Primo,Ghana Telecom University College
Maitilde,Izzatt,Tansian University
Stephie,Gregoletti,Morehead State University
Kerwin,Morales,Ecole Nationale Supérieure de Chimie de Paris
Linoel,Teggin,Miyagi University of Education
Madelene,Courtliff,Universidad Internacional del Ecuador
Gus,Connealy,Raffles University
Tobi,Blunkett,Illinois Valley Community College
Mayne,Sandever,Xinjiang Agriculture University
Edmon,Saltsberg,Aga Khan University
Waring,Clausius,"University of Maine, Orono"
Doretta,Branney,Kobe International University
Theresina,Purrington,Louisiana State University at Eunice
Meara,Barniss,Sadat Academy for Management Sciences
Dorree,Grieg,Eckerd College
Branden,Mellodey,University of Science and Technology Sana'a
Stearne,Sexti,Scholl College of Podiatric Medicine
Crystie,Clues,Pebble Hills University
Veradis,Edgar,Ondo State University of Science and Technology
Niki,Petrulis,Purbanchal University
Felic,Petrenko,Universidad Xicotepetl
Elene,Pingston,Tama Institute of Management and Information Sciences
